reference,pin,function,net,sheet
U1,1,GVDD_AB,+12V,tpa3255-v02
U1,2,VDD,VDD_FILTERED,tpa3255-v02
U1,3,M1,GND,tpa3255-v02
U1,4,M2,GND,tpa3255-v02
U1,5,INPUT_A,INPUT_A,tpa3255-v02
U1,6,INPUT_B,INPUT_B,tpa3255-v02
U1,7,OC_ADJ,OC_ADJ,tpa3255-v02
U1,8,FREQ_ADJ,FREQ_ADJ,tpa3255-v02
U1,9,OSC_IOM,NC,tpa3255-v02
U1,10,OSC_IOP,NC,tpa3255-v02
U1,11,DVDD,DVDD,tpa3255-v02
U1,12,GND,GND,tpa3255-v02
U1,13,GND,GND,tpa3255-v02
U1,14,AVDD,AVDD,tpa3255-v02
U1,15,C_START,C_START,tpa3255-v02
U1,16,INPUT_C,INPUT_C,tpa3255-v02
U1,17,INPUT_D,INPUT_D,tpa3255-v02
U1,18,RESET_N,RESET_N,tpa3255-v02
U1,19,FAULT_N,FAULT_N,tpa3255-v02
U1,20,VBG,VBG,tpa3255-v02
U1,21,CLIP_OTW_N,CLIP_OTW_N,tpa3255-v02
U1,22,GVDD_CD,+12V,tpa3255-v02
U1,23,BST_D,BST_D,tpa3255-v02
U1,24,BST_C,BST_C,tpa3255-v02
U1,25,GND,GND,tpa3255-v02
U1,26,GND,GND,tpa3255-v02
U1,27,OUT_D,OUT_D,tpa3255-v02
U1,28,OUT_D,OUT_D,tpa3255-v02
U1,29,PVDD_CD,PVDD,tpa3255-v02
U1,30,PVDD_CD,PVDD,tpa3255-v02
U1,31,PVDD_CD,PVDD,tpa3255-v02
U1,32,OUT_C,OUT_C,tpa3255-v02
U1,33,GND,GND,tpa3255-v02
U1,34,GND,GND,tpa3255-v02
U1,35,OUT_B,OUT_B,tpa3255-v02
U1,36,PVDD_AB,PVDD,tpa3255-v02
U1,37,PVDD_AB,PVDD,tpa3255-v02
U1,38,PVDD_AB,PVDD,tpa3255-v02
U1,39,OUT_A,OUT_A,tpa3255-v02
U1,40,OUT_A,OUT_A,tpa3255-v02
U1,41,GND,GND,tpa3255-v02
U1,42,GND,GND,tpa3255-v02
U1,43,BST_B,BST_B,tpa3255-v02
U1,44,BST_A,BST_A,tpa3255-v02
C1,1,~,BST_A,tpa3255-v02
C1,2,~,OUT_A,tpa3255-v02
L1,1,~,OUT_A,tpa3255-v02
L1,2,~,SPK_A,tpa3255-v02
C5,1,~,SPK_A,tpa3255-v02
C5,2,~,GND,tpa3255-v02
C9,1,~,SPK_A,tpa3255-v02
C9,2,~,GND,tpa3255-v02
C13,1,~,SPK_A,tpa3255-v02
C13,2,~,Z_A,tpa3255-v02
R1,1,~,Z_A,tpa3255-v02
R1,2,~,GND,tpa3255-v02
C2,1,~,BST_B,tpa3255-v02
C2,2,~,OUT_B,tpa3255-v02
L2,1,~,OUT_B,tpa3255-v02
L2,2,~,SPK_B,tpa3255-v02
C6,1,~,SPK_B,tpa3255-v02
C6,2,~,GND,tpa3255-v02
C10,1,~,SPK_B,tpa3255-v02
C10,2,~,GND,tpa3255-v02
C14,1,~,SPK_B,tpa3255-v02
C14,2,~,Z_B,tpa3255-v02
R2,1,~,Z_B,tpa3255-v02
R2,2,~,GND,tpa3255-v02
C3,1,~,BST_C,tpa3255-v02
C3,2,~,OUT_C,tpa3255-v02
L3,1,~,OUT_C,tpa3255-v02
L3,2,~,SPK_C,tpa3255-v02
C7,1,~,SPK_C,tpa3255-v02
C7,2,~,GND,tpa3255-v02
C11,1,~,SPK_C,tpa3255-v02
C11,2,~,GND,tpa3255-v02
C15,1,~,SPK_C,tpa3255-v02
C15,2,~,Z_C,tpa3255-v02
R3,1,~,Z_C,tpa3255-v02
R3,2,~,GND,tpa3255-v02
C4,1,~,BST_D,tpa3255-v02
C4,2,~,OUT_D,tpa3255-v02
L4,1,~,OUT_D,tpa3255-v02
L4,2,~,SPK_D,tpa3255-v02
C8,1,~,SPK_D,tpa3255-v02
C8,2,~,GND,tpa3255-v02
C12,1,~,SPK_D,tpa3255-v02
C12,2,~,GND,tpa3255-v02
C16,1,~,SPK_D,tpa3255-v02
C16,2,~,Z_D,tpa3255-v02
R4,1,~,Z_D,tpa3255-v02
R4,2,~,GND,tpa3255-v02
J1,1,1,SPK_A,tpa3255-v02
J1,2,2,SPK_B,tpa3255-v02
J2,1,1,SPK_C,tpa3255-v02
J2,2,2,SPK_D,tpa3255-v02
