reference,value,footprint,status,x_mm,y_mm,rotation_deg,side,footprint_sha256
C1,33n / 100V,Capacitor_SMD:C_0805_2012Metric,provisional,135,57,0,B,62775a51fe74ba7f1b572de327bdbd3fc92582721b2abcaa47787865590d89cb
C2,33n / 100V,Capacitor_SMD:C_0805_2012Metric,provisional,135,60,0,B,62775a51fe74ba7f1b572de327bdbd3fc92582721b2abcaa47787865590d89cb
C3,33n / 100V,Capacitor_SMD:C_0805_2012Metric,provisional,135,74,0,B,62775a51fe74ba7f1b572de327bdbd3fc92582721b2abcaa47787865590d89cb
C4,33n / 100V,Capacitor_SMD:C_0805_2012Metric,provisional,135,77,0,B,62775a51fe74ba7f1b572de327bdbd3fc92582721b2abcaa47787865590d89cb
C5,1u / 100V film,Capacitor_THT:C_Rect_L18.0mm_W9.0mm_P15.00mm_FKS3_FKP3,provisional,182,35,0,F,2cefe1b7b4b50cd43199e4cdc2ca843393db0095876f3f26deb29bdeb93dac9e
C6,1u / 100V film,Capacitor_THT:C_Rect_L18.0mm_W9.0mm_P15.00mm_FKS3_FKP3,provisional,182,55,0,F,2cefe1b7b4b50cd43199e4cdc2ca843393db0095876f3f26deb29bdeb93dac9e
C7,1u / 100V film,Capacitor_THT:C_Rect_L18.0mm_W9.0mm_P15.00mm_FKS3_FKP3,provisional,182,75,0,F,2cefe1b7b4b50cd43199e4cdc2ca843393db0095876f3f26deb29bdeb93dac9e
C8,1u / 100V film,Capacitor_THT:C_Rect_L18.0mm_W9.0mm_P15.00mm_FKS3_FKP3,provisional,182,95,0,F,2cefe1b7b4b50cd43199e4cdc2ca843393db0095876f3f26deb29bdeb93dac9e
C9,1n / 100V,Capacitor_SMD:C_0805_2012Metric,provisional,205,35,0,F,62775a51fe74ba7f1b572de327bdbd3fc92582721b2abcaa47787865590d89cb
C10,1n / 100V,Capacitor_SMD:C_0805_2012Metric,provisional,205,55,0,F,62775a51fe74ba7f1b572de327bdbd3fc92582721b2abcaa47787865590d89cb
C11,1n / 100V,Capacitor_SMD:C_0805_2012Metric,provisional,205,75,0,F,62775a51fe74ba7f1b572de327bdbd3fc92582721b2abcaa47787865590d89cb
C12,1n / 100V,Capacitor_SMD:C_0805_2012Metric,provisional,205,95,0,F,62775a51fe74ba7f1b572de327bdbd3fc92582721b2abcaa47787865590d89cb
C13,220n / 100V film,Capacitor_THT:C_Rect_L13.0mm_W6.0mm_P10.00mm_FKS3_FKP3_MKS4,provisional,184,44,0,F,7672e33a5ccc2c55a4569535706789413885ef9c8dfcc8f6919c5708c810ec06
C14,220n / 100V film,Capacitor_THT:C_Rect_L13.0mm_W6.0mm_P10.00mm_FKS3_FKP3_MKS4,provisional,184,64,0,F,7672e33a5ccc2c55a4569535706789413885ef9c8dfcc8f6919c5708c810ec06
C15,220n / 100V film,Capacitor_THT:C_Rect_L13.0mm_W6.0mm_P10.00mm_FKS3_FKP3_MKS4,provisional,184,84,0,F,7672e33a5ccc2c55a4569535706789413885ef9c8dfcc8f6919c5708c810ec06
C16,220n / 100V film,Capacitor_THT:C_Rect_L13.0mm_W6.0mm_P10.00mm_FKS3_FKP3_MKS4,provisional,184,104,0,F,7672e33a5ccc2c55a4569535706789413885ef9c8dfcc8f6919c5708c810ec06
C101,10u / 25V BP,Placement:BP_Cap_D8_P3.5,provisional,77,26,0,F,c07037b337b8a5c206b1e8cac7ab5ff0bc5a8583b61bd0324506813ea5b541d2
C102,330p / C0G,Capacitor_SMD:C_0805_2012Metric,provisional,92,34,0,B,62775a51fe74ba7f1b572de327bdbd3fc92582721b2abcaa47787865590d89cb
C103,330p / C0G,Capacitor_SMD:C_0805_2012Metric,provisional,92,38,0,B,62775a51fe74ba7f1b572de327bdbd3fc92582721b2abcaa47787865590d89cb
C121,10u / 25V BP,Placement:BP_Cap_D8_P3.5,provisional,83,102,0,F,c07037b337b8a5c206b1e8cac7ab5ff0bc5a8583b61bd0324506813ea5b541d2
C122,330p / C0G,Capacitor_SMD:C_0805_2012Metric,provisional,92,86,0,B,62775a51fe74ba7f1b572de327bdbd3fc92582721b2abcaa47787865590d89cb
C123,330p / C0G,Capacitor_SMD:C_0805_2012Metric,provisional,92,90,0,B,62775a51fe74ba7f1b572de327bdbd3fc92582721b2abcaa47787865590d89cb
C150,10u / 50V BP,Placement:BP_Cap_D8_P3.5,provisional,97,50,0,F,c07037b337b8a5c206b1e8cac7ab5ff0bc5a8583b61bd0324506813ea5b541d2
C151,10u / 50V BP,Placement:BP_Cap_D8_P3.5,provisional,97,60,0,F,c07037b337b8a5c206b1e8cac7ab5ff0bc5a8583b61bd0324506813ea5b541d2
C152,10u / 50V BP,Placement:BP_Cap_D8_P3.5,provisional,97,72,0,F,c07037b337b8a5c206b1e8cac7ab5ff0bc5a8583b61bd0324506813ea5b541d2
C153,10u / 50V BP,Placement:BP_Cap_D8_P3.5,provisional,97,82,0,F,c07037b337b8a5c206b1e8cac7ab5ff0bc5a8583b61bd0324506813ea5b541d2
C154,100p / C0G,Capacitor_SMD:C_0805_2012Metric,provisional,107,50,0,B,62775a51fe74ba7f1b572de327bdbd3fc92582721b2abcaa47787865590d89cb
C155,100p / C0G,Capacitor_SMD:C_0805_2012Metric,provisional,107,60,0,B,62775a51fe74ba7f1b572de327bdbd3fc92582721b2abcaa47787865590d89cb
C156,100p / C0G,Capacitor_SMD:C_0805_2012Metric,provisional,107,72,0,B,62775a51fe74ba7f1b572de327bdbd3fc92582721b2abcaa47787865590d89cb
C157,100p / C0G,Capacitor_SMD:C_0805_2012Metric,provisional,107,82,0,B,62775a51fe74ba7f1b572de327bdbd3fc92582721b2abcaa47787865590d89cb
C201,1u / 100V X7R,Capacitor_SMD:C_1206_3216Metric,provisional,131,62,0,B,b2e4a08e3aaf40bc587090190c0e3969e962d7ae962c172cce0581ae8327651c
C202,1u / 100V X7R,Capacitor_SMD:C_1206_3216Metric,provisional,131,65,0,B,b2e4a08e3aaf40bc587090190c0e3969e962d7ae962c172cce0581ae8327651c
C203,1u / 100V X7R,Capacitor_SMD:C_1206_3216Metric,provisional,131,68,0,B,b2e4a08e3aaf40bc587090190c0e3969e962d7ae962c172cce0581ae8327651c
C204,1u / 100V X7R,Capacitor_SMD:C_1206_3216Metric,provisional,131,71,0,B,b2e4a08e3aaf40bc587090190c0e3969e962d7ae962c172cce0581ae8327651c
C205,470u / 80V,Capacitor_THT:CP_Radial_D18.0mm_P7.50mm,provisional,135,21,0,F,1c99021c3a0ed41751554408bb417ab0045a43bdf8744bcb186a90710d994559
C206,470u / 80V,Capacitor_THT:CP_Radial_D18.0mm_P7.50mm,provisional,135,107,0,F,1c99021c3a0ed41751554408bb417ab0045a43bdf8744bcb186a90710d994559
C207,10u / 25V,Capacitor_SMD:C_1206_3216Metric,provisional,117,63,0,B,b2e4a08e3aaf40bc587090190c0e3969e962d7ae962c172cce0581ae8327651c
C208,100n / 25V,Capacitor_SMD:C_0805_2012Metric,provisional,118,55,0,B,62775a51fe74ba7f1b572de327bdbd3fc92582721b2abcaa47787865590d89cb
C209,100n / 25V,Capacitor_SMD:C_0805_2012Metric,provisional,125,55,0,B,62775a51fe74ba7f1b572de327bdbd3fc92582721b2abcaa47787865590d89cb
C210,100n / 25V,Capacitor_SMD:C_0805_2012Metric,provisional,117,74,0,B,62775a51fe74ba7f1b572de327bdbd3fc92582721b2abcaa47787865590d89cb
C211,1u / 16V,Capacitor_SMD:C_0805_2012Metric,provisional,117,67,0,B,62775a51fe74ba7f1b572de327bdbd3fc92582721b2abcaa47787865590d89cb
C212,1u / 16V,Capacitor_SMD:C_0805_2012Metric,provisional,117,70,0,B,62775a51fe74ba7f1b572de327bdbd3fc92582721b2abcaa47787865590d89cb
C213,1u / 16V,Capacitor_SMD:C_0805_2012Metric,provisional,117,78,0,B,62775a51fe74ba7f1b572de327bdbd3fc92582721b2abcaa47787865590d89cb
C214,47n / 25V,Capacitor_SMD:C_0805_2012Metric,provisional,121,80,0,B,62775a51fe74ba7f1b572de327bdbd3fc92582721b2abcaa47787865590d89cb
C215,100u / 25V,Capacitor_THT:CP_Radial_D8.0mm_P3.50mm,provisional,63,101,0,F,e7256cc327aa5d1bc5410a487248fa9b5e3d25153b2315201d5da5108cb49580
C216,10u / 16V,Capacitor_SMD:C_1206_3216Metric,provisional,74,105,0,F,b2e4a08e3aaf40bc587090190c0e3969e962d7ae962c172cce0581ae8327651c
C217,100n / 16V,Capacitor_SMD:C_0805_2012Metric,provisional,74,109,0,F,62775a51fe74ba7f1b572de327bdbd3fc92582721b2abcaa47787865590d89cb
C218,100n / 25V,Capacitor_SMD:C_0805_2012Metric,provisional,86,40,0,B,62775a51fe74ba7f1b572de327bdbd3fc92582721b2abcaa47787865590d89cb
C219,100n / 25V,Capacitor_SMD:C_0805_2012Metric,provisional,86,89,0,B,62775a51fe74ba7f1b572de327bdbd3fc92582721b2abcaa47787865590d89cb
C301,1u / 25V,Capacitor_SMD:C_0805_2012Metric,provisional,65,143,0,F,62775a51fe74ba7f1b572de327bdbd3fc92582721b2abcaa47787865590d89cb
C302,1u / 16V,Capacitor_SMD:C_0805_2012Metric,provisional,65,152,0,F,62775a51fe74ba7f1b572de327bdbd3fc92582721b2abcaa47787865590d89cb
C303,1n / C0G,Capacitor_SMD:C_0805_2012Metric,provisional,82,136,0,F,62775a51fe74ba7f1b572de327bdbd3fc92582721b2abcaa47787865590d89cb
C304,4.7u / 16V film 5%,Capacitor_THT:C_Rect_L18.0mm_W9.0mm_P15.00mm_FKS3_FKP3,provisional,91,139,0,F,2cefe1b7b4b50cd43199e4cdc2ca843393db0095876f3f26deb29bdeb93dac9e
C305,180n / 5% C0G,Capacitor_SMD:C_1206_3216Metric,provisional,104,131,0,F,b2e4a08e3aaf40bc587090190c0e3969e962d7ae962c172cce0581ae8327651c
C310,100n / 16V,Capacitor_SMD:C_0805_2012Metric,provisional,43,129,0,B,62775a51fe74ba7f1b572de327bdbd3fc92582721b2abcaa47787865590d89cb
C311,100n / 16V,Capacitor_SMD:C_0805_2012Metric,provisional,58,129,0,B,62775a51fe74ba7f1b572de327bdbd3fc92582721b2abcaa47787865590d89cb
C312,100n / 16V,Capacitor_SMD:C_0805_2012Metric,provisional,69,129,0,B,62775a51fe74ba7f1b572de327bdbd3fc92582721b2abcaa47787865590d89cb
C313,100n / 16V,Capacitor_SMD:C_0805_2012Metric,provisional,82,129,0,B,62775a51fe74ba7f1b572de327bdbd3fc92582721b2abcaa47787865590d89cb
C314,100n / 16V,Capacitor_SMD:C_0805_2012Metric,provisional,96,129,0,B,62775a51fe74ba7f1b572de327bdbd3fc92582721b2abcaa47787865590d89cb
C315,100n / 16V,Capacitor_SMD:C_0805_2012Metric,provisional,108,129,0,B,62775a51fe74ba7f1b572de327bdbd3fc92582721b2abcaa47787865590d89cb
C401,1u / 100V X7R,Capacitor_SMD:C_1206_3216Metric,provisional,148,130,0,F,b2e4a08e3aaf40bc587090190c0e3969e962d7ae962c172cce0581ae8327651c
C402,2.2u / 10V X7R,Capacitor_SMD:C_1206_3216Metric,provisional,130,146,0,F,b2e4a08e3aaf40bc587090190c0e3969e962d7ae962c172cce0581ae8327651c
