"Refs","Value","Footprint","Qty","DNP"
"C1-C4","33n / 100V","","4",""
"C5-C8","1u / 100V film","","4",""
"C9-C12","1n / 100V","","4",""
"C13-C16","220n / 100V film","","4",""
"C101,C121","10u / 25V BP","","2",""
"C102,C103,C122,C123","330p / C0G","","4",""
"C150-C153","10u / 50V BP","","4",""
"C154-C157","100p / C0G","","4",""
"C201-C204,C401","1u / 100V X7R","","5",""
"C205,C206","470u / 80V","","2",""
"C207","10u / 25V","","1",""
"C208-C210,C218,C219,C607,C608","100n / 25V","","7",""
"C211-C213,C302","1u / 16V","","4",""
"C214","47n / 25V","","1",""
"C215,C609","100u / 25V","","2",""
"C216","10u / 16V","","1",""
"C217,C310-C315","100n / 16V","","7",""
"C301","1u / 25V","","1",""
"C303","1n / C0G","","1",""
"C304","4.7u / 16V film 5%","","1",""
"C305","180n / 5% C0G","","1",""
"C402","2.2u / 10V X7R","","1",""
"C501-C508","220p / 100V C0G","","8",""
"C601-C606","47u / 25V BP","","6",""
"D301,D302","1N4148","","2",""
"D303","BAT54","","1",""
"D401","STPS5H100B","","1",""
"F1","T5A / >=80VDC TBD MPN","","1",""
"J1","LEFT BTL","","1",""
"J2","RIGHT BTL","","1",""
"J101","L RCA","","1",""
"J102","R RCA","","1",""
"J201","INTERNAL 48V INPUT","","1",""
"J202","INTERNAL 12V INPUT","","1",""
"J301","TRIGGER TIP / SLEEVE","","1",""
"J302","AUTO / COMMON / ON","","1",""
"J303","STATUS","","1",""
"J601","L XLR FEMALE","","1",""
"J602","R XLR FEMALE","","1",""
"J603","L RCA / COM / XLR","","1",""
"J604","R RCA / COM / XLR","","1",""
"J605","CHASSIS BOND","","1",""
"L1-L4","10u / MA5172-AE","","4",""
"R1-R4","1 / 1W","","4",""
"R101,R121,R305,R605,R606","100k","","5",""
"R102,R122","11.5k / 0.1%","","2",""
"R103-R105,R123-R125,R307,R312,R402,R404,R406,R505-R508","10k / 0.1%","","15",""
"R150-R153","2.7k / 0.1%","","4",""
"R201","3.3","","1",""
"R202,R304","22k / 1%","","2",""
"R203","30k / 1%","","1",""
"R204,R607","10","","2",""
"R205,R206","10k / 1%","","2",""
"R301","1k / 1%","","1",""
"R302","4.7k / 1%","","1",""
"R303","6.8k / 1%","","1",""
"R306","267k / 0.1%","","1",""
"R308,R313,R314","10k","","3",""
"R309,R408","1k","","2",""
"R310","100k / 1%","","1",""
"R311","1M / 0.1%","","1",""
"R401","324k / 0.1%","","1",""
"R403","412k / 0.1%","","1",""
"R405","316k / 0.1%","","1",""
"R407","4.02k / 1%","","1",""
"R409","22k","","1",""
"R410","22k / 0.5W","","1",""
"R501-R504","33k / 0.1%","","4",""
"R601-R604","47 / 0.1%","","4",""
"R608","0 / SINGLE BOND","","1",""
"U1","TPA3255DDV","","1",""
"U2,U3,U602","NE5532","","3",""
"U4","TLV76033DBZR","","1",""
"U301","VOS618A-3T","","1",""
"U302","SN74LVC1G14DBVR","","1",""
"U303,U306","TPS3808G01DBVR","","2",""
"U304,U305,U307","SN74LVC1G17DBVR","","3",""
"U401","TPS26631PWPR","","1",""
"U601","INA2137UA","","1",""
