input,load_ohm,assumed_plant_pole_hz,frequency_hz,gain_v_v,db_relative_1khz
rca,4,0,20,9.349443411810727,-0.02263568912619643
rca,4,0,1000,9.373840117455906,0.0
rca,4,0,20000,9.079746404824364,-0.27687645729689203
rca,4,100000,20,9.349427380596849,-0.023263201514040863
rca,4,100000,1000,9.374501281104992,0.0
rca,4,100000,20000,9.277027055133033,-0.09078699204349194
rca,8,0,20,9.383135849005308,-0.023482900908202844
rca,8,0,1000,9.408538126000172,0.0
rca,8,0,20000,9.743526454275841,0.30388038997049494
rca,8,100000,20,9.383119605633647,-0.023781841261655553
rca,8,100000,1000,9.408845655253328,0.0
rca,8,100000,20000,9.832916319767195,0.38291997816881573
rca,1000000000.0,0,20,9.417071868092723,-0.02367990709623201
rca,1000000000.0,0,1000,9.442780188515185,0.0
rca,1000000000.0,0,20000,10.066670162903916,0.5557191777449829
rca,1000000000.0,100000,20,9.417055409200483,-0.02364532129528968
rca,1000000000.0,100000,1000,9.442726085215133,0.0
rca,1000000000.0,100000,20000,9.98286030850264,0.48315204337947304
xlr,4,0,20,4.650680316943001,-0.03345052281973756
xlr,4,0,1000,4.668625240890432,0.0
xlr,4,0,20000,4.522154619797978,-0.2768721243961313
xlr,4,100000,20,4.650672342206283,-0.03407803579846627
xlr,4,100000,1000,4.668954532292747,0.0
xlr,4,100000,20000,4.620409963166886,-0.09078265979544607
xlr,8,0,20,4.667439898608682,-0.034297733223236516
xlr,8,0,1000,4.685906525341035,0.0
xlr,8,0,20000,4.8527493181367145,0.30388472436467295
xlr,8,100000,20,4.667431818405356,-0.03459667424481705
xlr,8,100000,1000,4.686059689839455,0.0
xlr,8,100000,20000,4.89726981152615,0.38292431175120273
xlr,1000000000.0,0,20,4.684320645229945,-0.03449473869294972
xlr,1000000000.0,0,1000,4.70296072735688,0.0
xlr,1000000000.0,0,20000,5.013690577757873,0.5557235126212657
xlr,1000000000.0,100000,20,4.684312457535341,-0.034460152968634944
xlr,1000000000.0,100000,1000,4.702933780767588,0.0
xlr,1000000000.0,100000,20000,4.971949200162879,0.48315637870754646
